City		pop	wage	stu	traffic	sales 	hos	region	asp	sdh		gc
Beijing		1316.34	93997	59.8904	64161	8872.1	647	N	18553	23086.41	150423.2189
Tianjin		1003.97	68864	48.9919	17995	4470.4	482	N	8746	7612.31		143849.0194
Shijiazhuang	1003.15	43712	39.5542	13573	1972.4	394	N	5503	4157.6		48483.87579
Taiyuan 	367.45	51161	37.8728	5530	1281.5	244	N	7158	3307.99		65665.26058
Hohhot		233.96	48797	22.9258	3230	1142.4	155	N	5233	1414.62		115848.4356
Shenyang	727.11	52389	38.3543	24483	3186.1	314	NE	6348	4765.48		98452.36622
Dalian		591.45	58946	27.6275	13293	2526.5	216	NE	8263	4483.77		129356.4967
Changchun	752.67	52220	40.1823	11866	1970	299	NE	6026	3107.16		66472.42483
Harbin		995.21	47150	49.2382	13191	2728.3	446	NE	6194	3593.56		50411.97335
Shanghai	1432.34	91477	50.4771	11691	8557	629	E	16420	20486.25	152325.2161
Nanjing		643.09	66222	80.745	15616	3531.7	208	E	11495	4883.29		124582.5623
Hangzhou	706.61	64958	47.182	36409	3531.2	301	E	15022	6339.75		118078.1478
Ningbo		580.15	63362	14.8954	26354	2635.7	219	E	11100	4562.36		122879.7725
Hefei		711.5	54177	44.3401	40107	1480.8	481	C	6283	2355.77		65676.87983
Fuzhou		655.49	53420	31.8343	19524	2681.7	230	S	11236	3296.65		71374.08656
Xiamen		196.78	61754	15.2546	14813	974.5	53	S	13625	1950.1		153377.3757
Nanchang	510.08	46892	52.0148	11758	1132.8	181	C	7101	2051.16		65402.09379
JiNan		613.25	55840	72.7227	12739	2743.4	255	E	7152	3267.78		85286.42479
Qingdao		773.67	55334	30.0246	27428	2986.8	285	E	8435	4140.59		103488.5675
Zhengzhou	919.1	45066	74.7637	38643	2586.4	317	N	7162	4475.32		67477.96758
Wuhan		822.05	53684	96.6438	29620	3916.6	242	C	7717	5117.43		110106.0763
Changsha	662.81	56215	57.3447	37922	2802	279	C	6292	3482.97		107921.2746
Guangzhou	832.31	73678	98.3051	89269	6882.8	253	S	15330	12496.69	185269.1906
Shenzhen	310.47	77721	8.2401	201722	4433.6	119	S	24402	9289.37		467041.26
Nanning		724.43	49806	44.1524	8394	1450.8	205	SW	6959	2321.16		38699.9434
Haikou		163.23	45058	14.6231	45538	490.1	65	S	7423	1062.1		55421.18483
Chongqing	3358.42	51015	65.94	65183	5055.8	1502	SW	5569	9622.31		38063.31549
Chengdu		1187.99	84724	70.1701	124059	3752.9	724	SW	7197	8151.59		76674.80366
Guiyang		379.09	50654	32.5347	60430	785.7	243	SW	5025	1827.14		55011.21106
Kunming		546.79	51119	38.6097	17387	1702.3	365	SW	5795	3355.28		62461.0911
Lhasa		60.12	69403	1.9059	1124	144.1	274	SW	4058	559.28		50710.24617
XiAn		806.93	54388	75.2682	38289	2548	381	NW	6716	5357.05		60527.3072
Lanzhou		368.57	49424	46.4824	4837	843.9	165	NW	5868	2021.56		48193.83021
Xining		226.76	47343	6.3918	5402	317.5	109	NW	4628	972.5		43152.67243
Yinchuan	172.63	56565	9.2469	4042	348.1	92	NW	4856	1015.22		74669.52442
Urumqi		262.93	56680	14.6066	5427	970	167	NW	6111	1896.3		83780.85422
