city		pop	wage	stu	 traffic	sales	hos	region	asp	sdh
Beijing		1333.4	103400	60.4578	 65063		9638	672	N	18833	24158.4
Tianjin		1016.66	73839	50.5795	 18300		4738.7	631	N	9219	7916.9
Shijiazhuang	1024.93	48272	39.3559	 6932		2423.5	386	N	5737	4387.67
Taiyuan 	369.74	57771	40.0915	 4441		1450.2	240	N	7651	3325.78
Hohhot		237.88	50469	23.2481	 1346		1256.1	161	N	5474	1480.88
Shenyang	730.84	56590	39.9694	 25397		3570.1	340	NE	6217	5147.63
Dalian		594.29	63609	28.6224	 13580		2828.4	295	NE	9216	4666.71
Changchun	754.55	56977	41.4582	 12378		2217.5	301	NE	6261	3380.11
Harbin		987.29	51554	50.6425	 13989		3070.9	456	NE	6182	3768.82
Shanghai	1438.69	100623	50.6644	 13317		9303.5	637	E	16787	21269.3
Nanjing		648.72	77286	80.5338	 16088		4167.2	207	E	11198	5055.77
Hangzhou	715.76	70823	47.47	 24070		4201.5	307	E	13896	6694.55
Ningbo		583.78	70228	15.0854	 16722		2992	233	E	10745	4780.31
Hefei		712.81	59648	49.7305	 20094		1666.8	481	C	7157	2539.5
Fuzhou		674.94	58838	32.0844	 13785		3062.9	230	S	10719	3483.72
Xiamen		203.44	63062	15.8346	 7916		1072.3	56	S	15378	1972.02
Nanchang	517.73	51848	55.436	 6970		1304.9	198	C	6589	2149.33
Ji'Nan		621.61	62323	70.0394	 4241		3087.6	265	E	7369	3541.36
Qingdao		780.64	62097	31.3486	 9854		3361.7	297	E	8344	4435.9
Zhengzhou	937.8	49756	78.324	 18413		2913.6	313	N	7571	4839.26
Wuhan		827.31	60624	96.2106	 28145		4369.3	266	C	7951	5352.13
Changsha	671.41	61847	54.7514	 12745		3162.1	276	C	6116	3866.79
Guangzhou	842.42	74246	101.9291 98062		7144.5	255	S	15719	12825.64
Shenzhen	332.21	73492	8.7674	 15113		4844	124	S	24723	9974.01
Nanning		729.66	54330	35.6236	 8697		1616.9	211	SW	6627	2529.86
Haikou		165.31	50653	18.0565	 6898		541.3	105	S	7903	1119.48
Chongqing	3375.2	56852	69.1555	 68399		5710.7	1510	SW	5519	10774.1
Chengdu		1210.74	63201	72.9338	 21523		4468.9	746	SW	7032	8976.94
Guiyang		382.91	59330	35.9318	 72527		888.6	249	SW	5608	2010.58
Kunming		550.5	58153	40.9933	 13237		1905.9	380	SW	6384	3495.8
Lhasa		52.73	72468	2.4936	 724		180.3	67	SW		559.28
Xi'An		815.29	54098	76.6373	 25719		3093.9	381	NW	6465	5687.49
Lanzhou		374.67	54008	41.4182	 5673		944.9	167	NW	6460	2262.94
Xining		202.64	54914	6.7257	 2232		414.1	114	NW	5753	1093.09
Yinchuan	196	59080	9.3508	 4062		382.5	92	NW	4451	1089.89
Urumqi		266.91	61617	16.758	 3030		1070	173	NW	6429	1974.84
